customer_id,age,annual_income,years_employed,credit_score,loan_amount,loan_term_months,num_credit_cards,debt_to_income,defaulted
CUST0127,26,55793.0,5.0,681.0,61892,12,7,1.109,1
CUST0128,55,100139.0,9.7,572.0,79473,36,1,0.794,1
CUST0129,47,103962.0,11.1,748.0,88738,24,5,0.854,0
CUST0130,49,120123.0,10.0,850.0,84390,12,7,0.703,0
CUST0131,46,89976.0,10.5,820.0,68861,12,1,0.765,0
CUST0132,46,84041.0,6.2,815.0,65397,36,2,0.778,0
CUST0133,26,52484.0,7.6,625.0,44095,12,3,0.84,1
CUST0134,46,121416.0,13.6,801.0,108058,60,5,0.89,0
CUST0135,56,74252.0,7.1,650.0,67902,48,7,0.914,1
CUST0136,35,56189.0,3.5,689.0,43115,48,6,0.767,0
CUST0137,48,102026.0,13.0,650.0,58719,12,6,0.576,0
CUST0138,24,37557.0,3.8,628.0,29657,48,3,0.79,1
CUST0139,37,95052.0,11.2,678.0,70673,48,5,0.744,1
CUST0140,41,90132.0,6.0,755.0,71849,24,1,0.797,0
CUST0141,64,124694.0,16.3,807.0,142064,12,3,1.139,0
CUST0142,32,48687.0,6.2,702.0,24992,36,1,0.513,0
CUST0143,34,74223.0,7.0,608.0,64958,48,0,0.875,1
CUST0144,40,107750.0,12.3,711.0,104319,12,6,0.968,0
CUST0145,64,72410.0,10.5,663.0,56464,12,6,0.78,0
CUST0146,58,71739.0,7.5,754.0,105237,24,4,1.467,0
CUST0147,24,71088.0,2.9,753.0,44999,36,0,0.633,0
CUST0148,32,80311.0,7.3,768.0,67363,36,0,0.839,0
CUST0149,57,86480.0,5.4,644.0,47286,36,0,0.547,0
CUST0150,25,98832.0,6.6,525.0,66390,24,5,0.672,1
CUST0151,58,99308.0,8.8,598.0,79958,12,1,0.805,1
CUST0152,34,95808.0,9.9,809.0,90475,12,2,0.944,0
CUST0153,61,115841.0,3.4,668.0,93901,12,6,0.811,0
CUST0154,35,62413.0,3.8,629.0,74510,48,7,1.194,1
CUST0155,41,50392.0,2.1,773.0,35705,48,6,0.709,0
CUST0156,50,87177.0,6.4,780.0,58075,36,2,0.666,0
CUST0157,28,76405.0,5.9,694.0,116791,12,4,1.529,1
CUST0158,46,75939.0,7.8,681.0,65627,36,1,0.864,0
CUST0159,44,65474.0,7.2,686.0,33277,60,6,0.508,0
CUST0160,55,128048.0,9.5,740.0,80762,24,0,0.631,0
CUST0161,64,111603.0,12.3,837.0,62963,36,5,0.564,0
CUST0162,50,68076.0,5.9,717.0,71662,36,4,1.053,0
CUST0163,40,100839.0,9.5,764.0,67613,24,6,0.671,0
CUST0164,40,85123.0,9.4,787.0,66644,36,3,0.783,0
CUST0165,40,79907.0,8.5,629.0,58533,36,1,0.733,0
CUST0166,57,111514.0,12.1,781.0,99728,36,6,0.894,0
CUST0167,36,59242.0,7.5,674.0,25803,48,5,0.436,0
CUST0168,30,96689.0,12.0,563.0,48854,36,3,0.505,1
CUST0169,37,103994.0,6.4,565.0,82930,12,2,0.797,1
CUST0170,23,65533.0,3.2,610.0,62371,12,2,0.952,1
CUST0171,27,52197.0,2.5,703.0,46463,36,3,0.89,0
CUST0172,26,46073.0,1.4,669.0,16747,60,2,0.363,0
CUST0173,55,75345.0,6.0,704.0,71413,12,2,0.948,0
CUST0174,53,79571.0,6.8,824.0,43313,12,2,0.544,0
CUST0175,52,85453.0,9.2,627.0,52616,48,0,0.616,0
CUST0176,42,98965.0,8.7,710.0,53457,36,7,0.54,0
CUST0177,53,67582.0,9.8,726.0,79312,24,1,1.174,0
CUST0178,29,72630.0,2.8,629.0,68408,24,1,0.942,1
CUST0179,60,104425.0,13.8,739.0,91629,48,1,0.877,0
CUST0180,44,97494.0,10.4,615.0,100559,36,7,1.031,0
CUST0181,62,83855.0,10.8,808.0,124770,48,3,1.488,0
CUST0182,29,80989.0,3.2,637.0,23139,24,2,0.286,0
CUST0183,43,107385.0,9.6,850.0,64294,36,3,0.599,0
CUST0184,52,108574.0,10.1,720.0,67875,60,0,0.625,0
CUST0185,43,44219.0,3.2,736.0,14446,24,2,0.327,0
CUST0186,41,92137.0,7.2,700.0,45396,24,1,0.493,0
CUST0187,29,76993.0,6.1,691.0,51152,12,6,0.664,0
CUST0188,39,44581.0,4.2,636.0,6670,48,0,0.15,0
CUST0189,33,73936.0,,702.0,62823,12,3,0.85,0
CUST0190,35,63948.0,1.7,690.0,49098,24,6,0.768,1
CUST0191,51,,13.5,688.0,95828,48,6,0.843,0
CUST0192,49,105099.0,12.9,725.0,89994,12,4,0.856,0
CUST0193,48,89388.0,7.9,666.0,80307,60,1,0.898,0
CUST0194,38,103604.0,8.1,850.0,69488,36,2,0.671,0
CUST0195,63,95431.0,3.7,683.0,118238,24,1,1.239,0
CUST0196,26,18000.0,1.0,751.0,18657,36,5,1.036,0
CUST0197,37,68498.0,5.8,676.0,10399,48,2,0.152,0
CUST0198,27,51970.0,1.5,681.0,16925,36,5,0.326,0
CUST0199,37,57859.0,9.0,614.0,5103,60,5,0.088,0
CUST0200,63,126393.0,17.8,733.0,95176,60,7,0.753,0
CUST0201,38,83231.0,3.1,695.0,59744,24,2,0.718,0
CUST0202,61,75881.0,8.4,806.0,46605,48,7,0.614,0
CUST0203,43,90346.0,8.6,723.0,112000,24,3,1.24,0
CUST0204,52,95743.0,14.6,828.0,83885,60,5,0.876,0
CUST0205,42,58141.0,3.7,718.0,59580,24,5,1.025,1
CUST0206,34,98241.0,7.0,810.0,53197,24,6,0.541,0
CUST0207,55,106682.0,15.8,743.0,58030,48,3,0.544,0
CUST0208,63,,6.2,850.0,70164,48,6,0.759,0
CUST0209,34,31352.0,2.1,628.0,27320,12,2,0.871,1
CUST0210,55,118275.0,8.6,668.0,47867,36,3,0.405,0
CUST0211,33,75520.0,4.3,606.0,52673,24,3,0.697,0
CUST0212,53,99003.0,12.2,850.0,74562,48,5,0.753,0
CUST0213,56,107553.0,11.0,779.0,75931,36,4,0.706,0
CUST0214,41,40193.0,,640.0,12250,60,0,0.305,0
CUST0215,53,116418.0,11.3,811.0,75444,60,6,0.648,0
CUST0216,34,62040.0,4.3,725.0,42639,48,6,0.687,0
CUST0217,26,75779.0,8.8,833.0,58832,48,0,0.776,0
CUST0218,27,51825.0,2.9,570.0,52174,60,7,1.007,1
CUST0219,41,64870.0,5.4,669.0,72431,12,5,1.117,1
CUST0220,60,116460.0,12.6,705.0,80869,48,0,0.694,0
CUST0221,28,79099.0,,572.0,49289,48,3,0.623,1
CUST0222,42,,9.1,782.0,81895,12,6,0.85,0
CUST0223,52,73648.0,4.1,665.0,68675,60,2,0.932,0
CUST0224,31,83878.0,7.4,749.0,53356,48,7,0.636,0
CUST0225,53,75397.0,6.3,847.0,73936,24,3,0.981,0
CUST0226,35,110286.0,7.1,686.0,104265,36,1,0.945,0
CUST0227,56,57041.0,5.6,657.0,71198,36,2,1.248,1
CUST0228,47,110654.0,10.0,730.0,122114,60,4,1.104,0
CUST0229,45,96459.0,5.6,762.0,53283,60,5,0.552,0
CUST0230,30,42578.0,1.4,624.0,32239,60,7,0.757,1
CUST0231,42,122739.0,9.9,684.0,92302,48,1,0.752,0
CUST0232,58,115712.0,11.3,798.0,84626,12,7,0.731,0
CUST0233,23,69707.0,2.2,698.0,37996,60,4,0.545,1
CUST0234,54,110400.0,14.5,609.0,50118,12,1,0.454,0
CUST0235,43,74562.0,6.4,614.0,57960,12,7,0.777,1
CUST0236,53,90099.0,9.7,811.0,50670,12,2,0.562,0
CUST0237,50,98858.0,10.0,744.0,76035,60,4,0.769,0
CUST0238,41,94938.0,5.5,647.0,53735,36,5,0.566,0
CUST0239,35,82280.0,7.9,692.0,37518,24,0,0.456,0
CUST0240,49,69388.0,7.2,696.0,57196,12,1,0.824,0
CUST0241,28,75046.0,3.8,730.0,59605,36,5,0.794,0
CUST0242,47,115417.0,12.9,648.0,99307,48,2,0.86,0
CUST0243,26,63500.0,1.4,613.0,95714,60,0,1.507,1
CUST0244,50,74942.0,1.4,689.0,62307,36,0,0.831,0
CUST0245,49,102456.0,14.1,731.0,87514,48,6,0.854,0
CUST0246,26,78845.0,12.9,762.0,35427,60,1,0.449,0
CUST0247,54,76557.0,8.5,624.0,29106,60,0,0.38,0
CUST0248,40,34008.0,1.1,679.0,60328,24,4,1.774,1
CUST0249,56,96354.0,9.2,784.0,51949,60,0,0.539,0
CUST0250,24,58388.0,3.4,706.0,20824,36,5,0.357,0
CUST0251,30,,4.8,691.0,44380,60,4,0.736,0
CUST0252,43,26346.0,4.3,662.0,17775,12,5,0.675,1
CUST0253,30,56710.0,7.3,637.0,22677,12,3,0.4,0
CUST0254,36,97813.0,8.2,705.0,66650,60,6,0.681,0
CUST0255,50,63651.0,4.3,762.0,74785,48,5,1.175,0
CUST0256,29,81089.0,7.5,693.0,43085,12,3,0.531,0
CUST0257,51,92280.0,15.8,684.0,38549,60,0,0.418,0
CUST0258,27,,5.5,,87953,12,2,0.981,1
CUST0259,30,63400.0,4.4,694.0,58381,48,1,0.921,0
CUST0260,47,89631.0,8.1,682.0,53572,24,0,0.598,0
CUST0261,56,137887.0,12.2,772.0,68608,12,2,0.498,0
CUST0262,30,73347.0,,698.0,38629,60,1,0.527,0
CUST0263,35,71562.0,6.9,753.0,52468,60,0,0.733,0
CUST0264,61,88042.0,9.8,806.0,91676,12,2,1.041,0
CUST0265,64,119497.0,17.5,823.0,66818,12,4,0.559,0
CUST0266,47,92588.0,8.0,646.0,67582,48,1,0.73,0
CUST0267,41,97162.0,12.8,671.0,87725,12,2,0.903,0
CUST0268,37,58491.0,3.2,669.0,5000,48,0,0.085,0
CUST0269,48,,10.6,697.0,109899,60,0,0.946,0
CUST0270,47,88667.0,9.6,639.0,40486,48,1,0.457,0
CUST0271,35,99434.0,3.6,661.0,81879,24,3,0.823,0
CUST0272,23,65001.0,,652.0,54178,12,5,0.833,1
CUST0273,29,108240.0,9.2,674.0,105041,48,6,0.97,0
CUST0274,63,105180.0,10.4,701.0,91005,12,5,0.865,0
CUST0275,40,75704.0,1.9,750.0,5000,36,4,0.066,0
CUST0276,43,71711.0,7.8,,36518,36,7,0.509,0
CUST0277,42,58814.0,4.7,841.0,47151,48,2,0.802,0
CUST0278,55,98256.0,8.9,724.0,69402,24,6,0.706,0
CUST0279,25,77948.0,4.3,,68968,48,7,0.885,1
CUST0280,26,49524.0,0.0,657.0,54509,48,4,1.101,1
CUST0281,34,36384.0,1.0,673.0,40674,24,6,1.118,1
CUST0282,43,67616.0,9.4,733.0,45998,24,1,0.68,0
CUST0283,51,63853.0,7.6,830.0,7270,12,7,0.114,0
CUST0284,43,29546.0,0.0,595.0,12139,36,4,0.411,1
CUST0285,41,90862.0,10.0,771.0,77307,24,1,0.851,0
CUST0286,62,122056.0,12.1,749.0,67552,12,0,0.553,0
CUST0287,29,60179.0,3.0,571.0,59022,36,5,0.981,1
CUST0288,47,38454.0,4.3,722.0,48825,36,3,1.27,0
CUST0289,45,91099.0,10.9,802.0,71115,12,2,0.781,0
CUST0290,42,83118.0,8.8,652.0,5000,12,3,0.06,0
CUST0291,56,153480.0,17.8,771.0,86992,12,7,0.567,0
CUST0292,34,55923.0,7.5,580.0,83438,48,3,1.492,1
CUST0293,63,101780.0,12.7,649.0,64311,24,0,0.632,0
CUST0294,36,99108.0,6.0,768.0,30680,12,2,0.31,0
CUST0295,45,100370.0,10.8,692.0,102453,12,1,1.021,0
CUST0296,44,98930.0,10.0,646.0,74491,60,5,0.753,1
CUST0297,58,113719.0,14.6,759.0,109598,24,6,0.964,0
CUST0298,41,79889.0,5.8,659.0,66010,48,6,0.826,1
CUST0299,34,80264.0,4.8,658.0,70286,36,5,0.876,1
CUST0300,23,44358.0,2.6,715.0,41255,12,6,0.93,1
CUST0301,38,99091.0,9.4,640.0,89663,24,3,0.905,1
CUST0302,57,93025.0,15.2,681.0,119872,12,5,1.289,1
CUST0303,23,61766.0,2.7,683.0,67687,48,0,1.096,0
CUST0304,60,98181.0,9.5,778.0,38868,24,4,0.396,0
CUST0305,45,78936.0,9.2,788.0,69029,36,4,0.874,0
CUST0306,28,64040.0,4.3,637.0,73143,12,0,1.142,1
CUST0307,35,,9.4,768.0,82951,60,4,1.101,0
CUST0308,46,45324.0,1.2,610.0,24608,24,5,0.543,1
CUST0309,36,61076.0,3.9,797.0,71436,36,2,1.17,0
CUST0310,27,40940.0,2.4,591.0,51115,60,4,1.249,1
CUST0311,50,69622.0,1.7,757.0,108812,48,2,1.563,1
CUST0312,51,63249.0,6.2,646.0,30937,48,2,0.489,0
CUST0313,27,66820.0,2.0,802.0,38952,60,1,0.583,0
CUST0314,34,53258.0,5.5,721.0,33209,12,2,0.624,0
CUST0315,33,76006.0,9.6,642.0,46220,60,6,0.608,1
CUST0316,50,77851.0,8.3,669.0,38808,36,7,0.498,0
CUST0317,53,101557.0,6.3,753.0,15389,36,5,0.152,0
CUST0318,53,97514.0,9.5,784.0,63572,24,4,0.652,0
CUST0319,62,110504.0,14.6,,91004,48,4,0.824,0
CUST0320,55,92041.0,6.9,705.0,58180,60,3,0.632,0
CUST0321,36,33752.0,3.6,717.0,67892,48,3,2.011,1
CUST0322,27,71473.0,6.7,703.0,53899,12,4,0.754,0
CUST0323,48,115323.0,8.0,630.0,114895,36,6,0.996,1
CUST0324,61,110485.0,13.2,683.0,88615,48,3,0.802,0
CUST0325,63,104239.0,11.4,741.0,96360,24,4,0.924,0
CUST0326,32,87202.0,8.1,785.0,71545,48,3,0.82,0
CUST0327,32,73374.0,2.5,781.0,85144,48,2,1.16,0
CUST0328,24,32738.0,4.3,721.0,25784,12,2,0.788,0
CUST0329,28,39485.0,4.4,692.0,40528,36,0,1.026,0
CUST0330,46,75774.0,4.5,734.0,64890,12,3,0.856,0
CUST0331,45,57057.0,3.2,630.0,36450,36,5,0.639,1
CUST0332,38,104580.0,9.1,706.0,87345,24,5,0.835,0
CUST0333,36,66752.0,5.4,633.0,99220,60,7,1.486,1
CUST0334,57,57062.0,7.1,610.0,36848,60,0,0.646,1
CUST0335,42,61440.0,7.3,715.0,55308,36,6,0.9,0
CUST0336,56,67195.0,13.8,737.0,78067,36,6,1.162,0
CUST0337,63,75228.0,4.2,729.0,81507,48,3,1.083,0
CUST0338,36,56414.0,1.8,702.0,42568,48,2,0.755,0
CUST0339,31,53833.0,2.7,686.0,5000,48,2,0.093,0
CUST0340,63,135383.0,16.1,794.0,112905,48,5,0.834,0
CUST0341,49,109878.0,9.8,718.0,33580,60,6,0.306,0
CUST0342,35,80064.0,8.8,733.0,92387,60,5,1.154,0
CUST0343,49,44580.0,5.3,632.0,37163,12,4,0.834,1
CUST0344,44,80699.0,4.4,711.0,82517,36,5,1.023,0
CUST0345,61,114450.0,12.5,778.0,65991,36,0,0.577,0
CUST0346,33,77581.0,6.2,650.0,24031,36,4,0.31,0
CUST0347,64,125162.0,13.4,745.0,99608,36,0,0.796,0
CUST0348,62,,10.7,675.0,61472,48,7,0.741,0
CUST0349,30,102151.0,6.3,668.0,65799,36,7,0.644,1
CUST0350,29,55509.0,5.8,611.0,43494,24,4,0.784,1
CUST0351,45,104518.0,10.7,805.0,139272,36,2,1.333,0
CUST0352,24,46230.0,6.9,756.0,53032,60,5,1.147,0
CUST0353,35,42826.0,1.2,695.0,55208,24,5,1.289,1
CUST0354,41,78986.0,0.3,796.0,77806,12,5,0.985,0
CUST0355,63,110527.0,14.7,731.0,115443,60,4,1.044,0
CUST0356,64,129839.0,15.4,850.0,93198,12,1,0.718,0
CUST0357,29,60534.0,2.0,654.0,5000,48,0,0.083,0
CUST0358,60,78626.0,5.0,705.0,54821,60,2,0.697,0
CUST0359,26,86378.0,5.0,665.0,82642,24,4,0.957,1
CUST0360,54,100650.0,12.8,755.0,54152,24,3,0.538,0
CUST0361,58,91069.0,16.3,798.0,64422,24,4,0.707,0
CUST0362,60,93991.0,12.6,721.0,55274,12,2,0.588,0
CUST0363,32,75348.0,4.6,801.0,89556,12,7,1.189,0
CUST0364,60,96673.0,8.1,724.0,88993,12,2,0.921,0
CUST0365,27,42494.0,4.9,694.0,46204,36,6,1.087,1
CUST0366,44,69415.0,7.0,636.0,65736,36,3,0.947,1
CUST0367,42,61874.0,4.4,708.0,45586,12,3,0.737,0
CUST0368,36,92178.0,13.1,721.0,73480,60,4,0.797,0
CUST0369,23,60681.0,9.9,665.0,19437,48,2,0.32,0
CUST0370,55,97914.0,13.6,683.0,25334,12,1,0.259,0
CUST0371,37,55531.0,3.8,849.0,44950,60,3,0.809,0
CUST0372,50,110693.0,11.8,713.0,90148,12,6,0.814,0
CUST0373,40,98557.0,9.3,620.0,100522,36,1,1.02,1
CUST0374,38,79993.0,8.3,659.0,94564,36,3,1.182,1
CUST0375,60,107979.0,14.9,740.0,115524,36,5,1.07,0
CUST0376,26,74139.0,6.8,731.0,33648,60,5,0.454,0
CUST0377,53,88811.0,12.0,760.0,58858,60,3,0.663,0
CUST0378,54,83938.0,11.9,766.0,73521,24,0,0.876,0
CUST0379,38,67057.0,8.0,656.0,105995,36,0,1.581,1
CUST0380,34,44458.0,0.5,679.0,65906,60,3,1.482,1
CUST0381,23,45168.0,4.4,618.0,58503,48,6,1.295,1
CUST0382,62,98771.0,9.5,675.0,65547,60,0,0.664,0
CUST0383,62,99466.0,7.2,646.0,55169,36,7,0.555,0
CUST0384,33,66814.0,11.4,636.0,67466,24,5,1.01,1
CUST0385,24,82117.0,9.9,781.0,37373,36,0,0.455,0
CUST0386,28,78421.0,9.4,753.0,53570,60,2,0.683,0
CUST0387,25,71983.0,5.4,752.0,51462,60,1,0.715,0
CUST0388,57,111726.0,14.7,746.0,118839,48,7,1.064,0
CUST0389,60,78456.0,10.9,766.0,51039,48,4,0.651,0
CUST0390,29,51304.0,5.9,,5000,36,2,0.097,1
CUST0391,54,82541.0,6.3,752.0,73004,24,2,0.884,0
CUST0392,30,88812.0,6.7,711.0,51231,36,4,0.577,0
CUST0393,38,44887.0,7.1,728.0,34603,36,0,0.771,0
CUST0394,48,78986.0,4.6,712.0,57332,60,2,0.726,0
CUST0395,53,110404.0,9.5,655.0,76782,36,1,0.695,1
CUST0396,59,96185.0,10.5,622.0,89526,48,4,0.931,1
CUST0397,24,90673.0,10.1,669.0,34282,12,5,0.378,0
CUST0398,31,69374.0,8.5,738.0,40656,48,3,0.586,0
CUST0399,34,71570.0,6.2,737.0,68726,36,1,0.96,0
CUST0400,36,53626.0,7.3,602.0,26710,60,2,0.498,0
CUST0401,64,69835.0,11.8,653.0,16983,36,6,0.243,0
CUST0402,55,107201.0,9.4,671.0,95109,36,1,0.887,0
CUST0403,36,48885.0,3.1,647.0,61372,12,1,1.255,1
CUST0404,63,95027.0,11.0,633.0,70280,60,0,0.74,0
CUST0405,43,53623.0,5.4,590.0,5000,48,6,0.093,0
CUST0406,44,48930.0,4.0,621.0,52229,60,0,1.067,1
CUST0407,41,83552.0,9.1,714.0,26146,12,4,0.313,0
CUST0408,29,61336.0,6.5,613.0,52796,24,7,0.861,1
CUST0409,62,88750.0,5.6,687.0,47038,60,5,0.53,0
CUST0410,23,67368.0,3.8,748.0,25010,12,3,0.371,0
CUST0411,30,84653.0,8.6,622.0,53768,36,1,0.635,0
